Category,Date,Amount,Mode of Payment
Steel Rods,27/10/2025,"₹100,000.00","PhonePe, Gpay"
బునాది కూలీల  చార్జీలు,2/11/2025,"₹100,000.00","PhonePe, Gpay"
ఇటుకలు ,9/11/2025,"₹50,000.00",PhonePe
ఇటుకలు ,12/11/2025,"₹50,000.00",PhonePe
ఇటుకలు ,22/11/2025,"₹50,000.00",PhonePe
Steel Rods & Binding Wire,27/11/2025,"₹50,000.00",PhonePe
Iron Rods,1/12/2025,"₹50,000.00",PhonePe
Slab Amount,11/12/2025,"₹100,000.00","PhonePe, Gpay"
Slab Amount,13/12/2025,"₹100,000.00","PhonePe, Gpay"
Water Tank,14/12/2025,"₹1,700.00",Supermoney & PhonePe
Slab Amount,15/12/2025,"₹100,000.00","PhonePe, Gpay"
ఇటుకలు ,11/1/2026,"₹100,000.00","PhonePe, Gpay"
ఇటుకలు ,22/1/2026,"₹50,000.00",PhonePe
కూలీలు ,5/2/2026,"₹50,000.00",PhonePe
Slab Amount,7/2/2026,"₹100,000.00","PhonePe, Gpay"
Slab Amount,9/2/2026,"₹100,000.00","PhonePe, Gpay"
Slab Amount,12/2/2026,"₹100,000.00","PhonePe, Gpay"
మారాలు ఇసుక ,19/2/2026,"₹50,000.00",PhonePe
Wood,7/3/2026,"₹50,000.00",Supermoney & PhonePe
Iron Rods & Windows,23/3/2026,"₹50,000.00",Supermoney & PhonePe
Coolie Work,9/4/2026,"₹50,000.00",Supermoney & PhonePe
Null,14/5/2026,"₹50,000.00",PhonePe
Null,4/6/2026,"₹100,000.00",Supermoney & PhonePe
లప్పం ,2/7/2026,"₹100,000.00",Supermoney & PhonePe
Water Tank,22/7/2026,"₹50,000.00",Supermoney & PhonePe
Electric Wires,8/8/2026,"₹50,000.00",Supermoney & PhonePe
Granite ,17/8/2026,"₹80,000.00",Supermoney & PhonePe
Tiles Bandalu,18/8/2026,"₹50,000.00",Cash
Tiles Bandalu,19/8/2026,"₹40,000.00",PhonePe
